quantum,locations,slice,shots,mode,iterations,gray,hot_start,gradient_type,formulation,layers,std_dev,lr,weight_decay,momentum,alpha,big_a,c,eta,gamma,s
TRUE,6,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,7,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,8,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,9,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,10,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,11,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,12,0.8,1024,3,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,4,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,5,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,6,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,7,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,8,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,9,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,10,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,11,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,12,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,4,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,5,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,6,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,7,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,8,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,9,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,10,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,11,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,12,0.8,1024,1,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,4,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,4,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,5,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,5,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,6,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,6,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,7,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,7,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
TRUE,12,0.8,1024,2,250,FALSE,FALSE,SPSA,original,,,,,,0.602,25,0.314,0.1,0.101,0.5
